model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro_ovr,mean_train_time_s,mean_pred_time_s
RandomForest,0.8095238095238095,0.8095238095238095,0.8133333333333332,0.8,0.9475462962962963,1.0915199666993605,0.15837392379485427
XGBoost,0.5238095238095238,0.43571428571428567,0.49333333333333335,0.4595959595959596,0.8118518518518518,0.2654303761553906,0.0039890904556072896
SVM_RBF,0.9047619047619048,0.9166666666666667,0.8933333333333333,0.891024531024531,0.8799074074074074,0.7959722095124778,0.0009465285443833896
MLP,0.7619047619047619,0.7761904761904762,0.7466666666666666,0.7418181818181819,0.9650925925925925,9.554357809502454,0.16409141905162306
